,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT,NPD_eORCA025_ERA5,NPD_eORCA025_JRA55,EN4,ORAS5
1976-01-01,-1.688060432718183,-0.0042924944393920444,0.7527024628054126,-0.36527228744118834,0.026050913298136726,0.6324290196371907,0.2976411800506778,-0.5330964422925318,1.346884698495397,2.9019736885180083,0.13797418896667188,-1.183993903685019,-0.45958496028238593,-0.672228710573071,-0.6202766547047318,-1.8379152595984767
1976-02-01,-1.8898754307333536,0.14939139021535136,0.6994445528029074,-0.9132540375325903,0.06819711515291513,0.49701826148590095,0.6116968895248629,-0.6980989051115555,0.9034442077440256,2.589935104624944,-0.2148101320707695,-1.123101121767844,-0.7247711932871719,-0.9044313634736856,-0.299453490126615,-1.4987016415326537
1976-03-01,-1.1691056327871,-0.16035464250876824,0.4868783088460426,-1.3279946665599616,0.6674588009672958,-0.11554463089312697,0.7644685893249002,-0.6125453220795738,0.9233977376079355,2.220336272752359,-0.31914998039438286,-1.200320110319515,-0.9111837128465575,-0.9052881529777447,-0.5282197710035046,-1.0873891637894453
1976-04-01,-0.9156388232448842,-0.5133758242360135,0.6333741184057257,-0.8892666851420314,0.14819613491260356,-0.10774158397177525,0.8996458704291702,-0.8810535758039981,1.3281999921112542,2.008649532018096,-0.28411600192252423,-0.7429015687718614,-0.7318196845937603,-0.6188515853485693,-0.5687882053151515,-0.9928538313582416
1976-05-01,-0.6462089318421119,-0.47492037868284764,0.611937443177515,-0.7905071505367504,-0.026883092275039582,-0.29752465749770507,1.127036750397542,-1.0285477864461703,1.7550070000538776,2.1424882712636886,-0.2744481900532853,-0.9548382691470234,-0.3144098820511247,-0.36306307042215286,-0.4275011459611367,-0.43692666877822944
1976-06-01,-0.4864259310876572,-0.5272521393688727,0.290829657336978,-0.6839386946710088,0.14741674222351484,-0.13335664920508777,1.9489409959661057,-1.6251783956223356,1.861813019700103,2.5280347771422047,-0.3405547041156696,-1.3516069035923346,0.09943890586681287,-0.05585289743533559,-0.06791806318582015,-0.03873646146367061
1976-07-01,-0.3354799133078806,-0.40912783602650865,0.000550856834176687,-0.42478994056952896,0.12930695422152053,-0.26180857344465003,2.0242502818605574,-1.3285381200696607,0.774202034948267,2.066942713359646,-0.04963823190487089,-1.289740285551413,0.2494317273102465,0.10083681639590618,-0.03469083080697405,0.13817717958637493
1976-08-01,0.07118304109911602,-0.35829331615261567,-0.19087071588745164,-0.34721615341299716,0.44722691384754104,-0.45704235052767733,2.190136334335525,-1.2673726292156808,-0.2300823912059931,1.0813745948993436,-0.35519799802171187,-1.204713762936174,0.5485420920353147,0.26079708418000963,0.34143562345407497,0.28581344086269206
1976-09-01,0.1272587373700802,-0.5294536443940558,-0.36794023181285795,-0.27036362030946803,0.23874338021250446,-0.774409178276274,2.211006385977978,-1.4003646625434045,-0.3044177713708536,0.7716920931838718,-0.03568784521378354,-0.9621338119777464,0.683552212442201,0.240107491991126,0.30898208954246126,0.44187131330666835
1976-10-01,-0.017131566435023542,-0.5360194064729615,-0.5263671044682525,-0.1893655826818166,0.09717863883591044,-0.6419431664770014,2.119046582870553,-1.2271715593539836,-0.30580409183880997,0.5095345719211629,0.38328051856605533,-0.9328270118982271,0.9689526479454951,0.5241626332815044,0.6370202948753998,0.49199440543691064
1976-11-01,0.4626834134840668,-0.7150465201708084,-0.5617641705882318,-0.4920900875367869,0.09845659581042321,-0.8808833567247457,2.1815951303315657,-1.3028444039480402,0.04967474660710655,0.25723196879732374,0.8212001096854861,-1.0770236285516184,1.0829497440205322,0.46785193031189576,0.9676100987217903,0.4144939197835777
1976-12-01,0.6402342340583611,-0.8937058033671338,-0.7185056165456732,-0.5140040717016161,0.19493489747192405,-0.9875712096127582,1.9858960869651539,-1.1316090321663768,0.1821546480662637,0.47075522711604023,0.7926386818344587,-1.2266142753535054,0.8335202399278576,0.2761083110038161,0.6930897880389819,0.43687212960416
1977-01-01,0.5518895038647198,-0.8351224902969742,-0.48332481046007436,-0.24599223686255675,0.020761785971124543,-0.7152890214703637,1.9850876633581007,-0.919245382876589,0.23491964632357135,0.42437924561305,0.6929781515547743,-1.6759135114966857,0.5537051280364828,0.15287438897143368,0.8894008716082001,0.42190714235991655
1977-02-01,0.4878779314058362,-0.7982027705926065,-0.17821545995372004,-0.0544229832694394,-0.12751877982786217,-0.37882197840219134,1.534431894433832,-0.6625585051573735,-0.5321653454403105,-0.09757861554765607,0.88186788795358,-1.6007695138823332,0.420442282768109,0.36194854826965367,0.6360015343969077,0.2773291819678344
1977-03-01,0.7440420986244554,-0.2421962067736269,-0.16178843752341873,0.1160612718588793,-0.23054566354419634,-0.27536703009663466,1.2860668448535895,0.3824263922161297,-1.149743993362885,0.023311596521686496,0.7533680630323202,-1.0102402459111883,0.05520061886707084,0.22519057137065407,0.37707733153706535,-0.11235917125540236
1977-04-01,0.8586756505817953,-0.28123016946815876,-0.24254448219163827,0.19998071181153532,-0.30461578970379166,-0.17115562140472176,1.2895733165565069,0.597774602683339,-1.134610403579408,0.6133472579850002,0.5684828069184401,-0.08127050296337089,-0.30540751174621333,-0.02289431824778436,0.585248267723412,-0.4516784339211828
1977-05-01,0.8959051330011819,0.20426568329116612,-0.15703119512913186,0.35575632574587207,-0.014364739462118444,0.059359089782598254,1.3495123231532993,0.8408557647440738,-0.7477880265174585,0.678319872815602,0.6600035006462118,0.3565272023901655,-0.0898460676244288,0.17110515138860422,0.7425686285169925,-0.10474148404984751
1977-06-01,1.0689147537697155,0.2534225569727414,-0.1265618445515914,0.4726785131645792,-0.11709249440957718,0.42087410027619326,0.6358987551800845,1.5044559791205863,-1.0298557798066137,-0.021435037341812326,1.1185450437631403,-0.015848586607681955,0.016310358952075776,0.41586081133627495,0.7442447131446926,0.039118651473721205
1977-07-01,1.4125132001014962,0.554937779089388,0.0678881874293873,0.7967552824936472,-0.031691789062077175,0.41245759181073316,-0.28124689471203845,1.5640932550835998,-1.4428444802306701,-0.8035888387579087,1.3377470570029326,0.022131638571400023,-0.13172619518826284,0.05242401873450771,0.7787579524710447,0.08019400561847746
1977-08-01,1.7048051672024125,0.6196757748694587,0.28678049473469375,0.5670031741295555,-0.049607822921402187,0.43018305687230013,-0.96834449688853,1.770577167146579,-1.297208222540655,-0.548343016661407,1.2332444024904634,0.11944494667639147,-0.25895832989495,-0.277415364012432,0.634118302336987,-0.17029491522517282
1977-09-01,1.751653236533061,0.6980897001807014,0.4145644356015995,0.7072380435483008,0.10939117008894016,0.17415551609483343,-1.3030548714026324,1.8428708659612267,-1.2902759384798217,-0.23609379722806195,0.9756477862596236,-0.19097513769104624,-0.08589756631332472,-0.16523382058534702,0.6052695811033371,0.12734240360861396
1977-10-01,2.1529740708585536,0.7750475328674329,0.6339916204682998,0.9059110321796697,-0.06305541952573965,-0.03386470862416495,-1.2288812249258354,1.945964380027695,-1.2471804364921844,0.21384091804842137,0.833915499638453,0.03712714451194101,0.1290677527379932,-0.06833645937258336,0.6811309883733194,0.17266468993209633
1977-11-01,2.2489449145930207,0.8903053849051935,0.749027571088446,1.2904013341375398,0.34059538013565216,0.31770623183319685,-1.5432355919882716,1.995708327224861,-1.5027080641576158,0.2915163341513627,0.6324980175947134,0.015432513923536824,0.45192247149877407,0.22493218085515473,0.7661466061819917,0.5176929319447304
