,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT
2015-01-01,,,,,,,,,,,,
2015-02-01,-1.240354959532722,1.2384448120819542,-0.4464740137377685,1.0621731399852017,-1.1641453183297419,-0.4069494311945385,0.21316395047459338,-0.10263516315048382,-0.7107131203676896,-0.019530954690464605,0.4042709721310315,-1.1825682880841073
2015-03-01,-1.2122664640760614,0.9859457580673614,-0.2465721339780742,0.1809272002255411,-1.0241855453684245,-0.10438089290209403,0.3660900911357247,-0.11084088781795104,-0.5640958558376051,-0.05637337420714996,0.2519632376783344,-1.0608790155931158
2015-04-01,-1.045657801070815,0.5453472809158195,-0.11096313233735218,-0.4916802037762227,-0.7175239792041177,0.019680939579090267,0.4328469782439787,-0.37909773775355,-0.47900626376666633,0.06146474971033906,0.1426028482215095,-0.9338030504776826
2015-05-01,-0.6854639005194466,0.08001946541102806,-0.13885198391842263,-0.8524002505285825,-0.2935505762687893,0.006477294644603365,0.5846966249424037,-0.777369281755985,-0.5151065279215422,0.3617556188706778,0.18040660800098018,-0.8803328225369524
2015-06-01,-0.4842969887670192,-0.16281821269627475,-0.23915850981179995,-0.8409554343231006,0.08357359184389528,0.04699371336937306,0.7119002177445064,-1.1135102193720112,-0.3159214135751075,0.686158397281469,0.2261415325866211,-0.6953119790915405
2015-07-01,-0.4336260409383206,-0.47173763404301616,-0.37836210612610577,-0.7644314597920819,0.22516865778641781,0.18257931053406531,0.82663515623147,-1.2543950224839444,-0.25543054307649893,0.8686978001700703,0.2990448326273472,-0.4151245910144201
2015-08-01,-0.5106761109476915,-0.6283547347463528,-0.6270427682875548,-0.7523512543721599,0.16329347883261283,0.33054158746288687,0.8316019670960918,-1.31295095168936,-0.1544376459660067,0.9710816146884196,0.3212959689335406,-0.10677511172217709
2015-09-01,-0.5123554395631637,-0.6855855874536728,-0.9678787389173532,-0.8168387949164421,0.1246715105310758,0.3486778027146407,0.7217255140281531,-1.3539794553496503,-0.1483397235144364,0.9938393752524131,0.4403335683665905,0.03637291909623514
2015-10-01,-0.5864538508047492,-0.5900152028160532,-1.198064862065757,-1.055362280049107,0.03818078491696115,0.39429146478099697,0.5463657308548161,-1.3404512757078588,-0.13884138980383604,0.8754104370458169,0.5022281966668819,0.14873081717845518
2015-11-01,-0.8059036721678456,-0.5437985729845266,-1.292719077116092,-1.2595523281966912,0.05126141944055404,0.4904067762750793,0.369237823870702,-1.2325252757185217,-0.17649788743115727,0.560321805292624,0.7815333130857381,0.2704693386278914
2015-12-01,-0.9679163983327875,-0.6378989751987966,-1.254526760439349,-1.4658047676422894,-0.012297444041678074,0.503379166346369,0.2911466309848147,-1.187082930288627,-0.192996652183714,0.27168887655685375,0.9809636890831333,0.49392591991261536
2016-01-01,-1.0980191031881301,-0.6275457633979976,-1.1303658209748362,-1.5320874049736632,-0.0006178446915582775,0.42135328657751653,0.2928507608930093,-1.2643144868581178,-0.18292797872772304,0.05416349831623569,1.0357321448489658,0.5672795098556281
2016-02-01,-1.1044577800053341,-0.6906382339208234,-0.9353119960773973,-1.403176628669469,0.034204773343919394,0.32807519510230504,0.1791465959769708,-1.3923062625241578,-0.17428885376915434,0.04152245076493511,1.0148776530414325,0.5019678750646396
