START_Y,END_Y,BS_START,BS_END
1950,1955,1950,1980
1956,1960,1950,1980
1961,1965,1950,1980
1966,1970,1950,1980
1971,1975,1956,1985
1976,1980,1961,1990
1981,1985,1966,1995
1986,1990,1971,2000
1991,1995,1976,2005
1996,2000,1981,2010
2001,2005,1986,2015
2006,2010,1991,2020
2011,2015,1996,2025
2016,2020,2001,2030
2021,2025,2006,2035
2026,2030,2011,2040
2031,2035,2016,2045
2036,2040,2021,2050
2041,2045,2021,2050
2046,2050,2021,2050
